collation_name;column_name;default_expr;formatted_type;generated_kind;identity_kind;not_null;object_name;object_type;ordinal_position;schema_name;type_name;type_schema
;enabled;false;boolean;;;false;automations;BASE TABLE;4;public;bool;pg_catalog
pg_catalog.default;channel;'whatsapp'::text;text;;;false;automations;BASE TABLE;5;public;text;pg_catalog
pg_catalog.default;trigger_type;;text;;;true;automations;BASE TABLE;6;public;text;pg_catalog
;trigger_delay;0;integer;;;false;automations;BASE TABLE;7;public;int4;pg_catalog
pg_catalog.default;template;;text;;;false;automations;BASE TABLE;8;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;automations;BASE TABLE;9;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;automations;BASE TABLE;10;public;timestamptz;pg_catalog
;barber_id;;uuid;;;false;automations;BASE TABLE;11;public;uuid;pg_catalog
pg_catalog.default;template_multiple;;text;;;false;automations;BASE TABLE;12;public;text;pg_catalog
;wait_response_timeout_minutes;;integer;;;false;automations;BASE TABLE;13;public;int4;pg_catalog
;wait_timeout_interaction_id;;uuid;;;false;automations;BASE TABLE;14;public;uuid;pg_catalog
;id;gen_random_uuid();uuid;;;true;availability_conflict_logs;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;false;availability_conflict_logs;BASE TABLE;2;public;uuid;pg_catalog
;barber_id;;uuid;;;false;availability_conflict_logs;BASE TABLE;3;public;uuid;pg_catalog
;requested_start;;timestamp with time zone;;;true;availability_conflict_logs;BASE TABLE;4;public;timestamptz;pg_catalog
;requested_end;;timestamp with time zone;;;true;availability_conflict_logs;BASE TABLE;5;public;timestamptz;pg_catalog
;duration_minutes;;integer;;;false;availability_conflict_logs;BASE TABLE;6;public;int4;pg_catalog
;buffer_minutes;0;integer;;;false;availability_conflict_logs;BASE TABLE;7;public;int4;pg_catalog
pg_catalog.default;source;'unknown'::text;text;;;true;availability_conflict_logs;BASE TABLE;8;public;text;pg_catalog
pg_catalog.default;result;'conflict'::text;text;;;true;availability_conflict_logs;BASE TABLE;9;public;text;pg_catalog
;conflicting;;jsonb;;;false;availability_conflict_logs;BASE TABLE;10;public;jsonb;pg_catalog
;created_at;now();timestamp with time zone;;;true;availability_conflict_logs;BASE TABLE;11;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;background_jobs;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;false;background_jobs;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;queue_name;'default'::text;text;;;true;background_jobs;BASE TABLE;3;public;text;pg_catalog
;payload;;jsonb;;;true;background_jobs;BASE TABLE;4;public;jsonb;pg_catalog
pg_catalog.default;status;'pending'::text;text;;;true;background_jobs;BASE TABLE;5;public;text;pg_catalog
;priority;0;integer;;;false;background_jobs;BASE TABLE;6;public;int4;pg_catalog
;attempts;0;integer;;;false;background_jobs;BASE TABLE;7;public;int4;pg_catalog
;max_attempts;3;integer;;;false;background_jobs;BASE TABLE;8;public;int4;pg_catalog
;next_run_at;now();timestamp with time zone;;;false;background_jobs;BASE TABLE;9;public;timestamptz;pg_catalog
pg_catalog.default;last_error;;text;;;false;background_jobs;BASE TABLE;10;public;text;pg_catalog
;completed_at;;timestamp with time zone;;;false;background_jobs;BASE TABLE;11;public;timestamptz;pg_catalog
;created_at;now();timestamp with time zone;;;false;background_jobs;BASE TABLE;12;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;background_jobs;BASE TABLE;13;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;barber_commissions;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;barber_commissions;BASE TABLE;2;public;uuid;pg_catalog
;barber_id;;uuid;;;true;barber_commissions;BASE TABLE;3;public;uuid;pg_catalog
;appointment_id;;uuid;;;true;barber_commissions;BASE TABLE;4;public;uuid;pg_catalog
;customer_id;;uuid;;;false;barber_commissions;BASE TABLE;5;public;uuid;pg_catalog
;service_id;;uuid;;;false;barber_commissions;BASE TABLE;6;public;uuid;pg_catalog
pg_catalog.default;service_name;;text;;;false;barber_commissions;BASE TABLE;7;public;text;pg_catalog
;service_amount;0;numeric(10,2);;;true;barber_commissions;BASE TABLE;8;public;numeric;pg_catalog
pg_catalog.default;commission_type;'percentage'::text;text;;;true;barber_commissions;BASE TABLE;9;public;text;pg_catalog
;commission_percentage;0;numeric(10,2);;;true;barber_commissions;BASE TABLE;10;public;numeric;pg_catalog
;commission_fixed_amount;0;numeric(10,2);;;true;barber_commissions;BASE TABLE;11;public;numeric;pg_catalog
;commission_amount;0;numeric(10,2);;;true;barber_commissions;BASE TABLE;12;public;numeric;pg_catalog
pg_catalog.default;status;'pending'::text;text;;;true;barber_commissions;BASE TABLE;13;public;text;pg_catalog
;paid_at;;timestamp with time zone;;;false;barber_commissions;BASE TABLE;14;public;timestamptz;pg_catalog
;paid_by;;uuid;;;false;barber_commissions;BASE TABLE;15;public;uuid;pg_catalog
;created_at;now();timestamp with time zone;;;true;barber_commissions;BASE TABLE;16;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;barber_commissions;BASE TABLE;17;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;barber_services;BASE TABLE;1;public;uuid;pg_catalog
;barber_id;;uuid;;;false;barber_services;BASE TABLE;2;public;uuid;pg_catalog
;service_id;;uuid;;;false;barber_services;BASE TABLE;3;public;uuid;pg_catalog
;user_id;;uuid;;;false;barber_services;BASE TABLE;4;public;uuid;pg_catalog
;created_at;now();timestamp with time zone;;;false;barber_services;BASE TABLE;5;public;timestamptz;pg_catalog
;tenant_id;;uuid;;;false;barber_services;BASE TABLE;6;public;uuid;pg_catalog
;id;gen_random_uuid();uuid;;;true;barber_tips;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;barber_tips;BASE TABLE;2;public;uuid;pg_catalog
;barber_id;;uuid;;;true;barber_tips;BASE TABLE;3;public;uuid;pg_catalog
;appointment_id;;uuid;;;false;barber_tips;BASE TABLE;4;public;uuid;pg_catalog
;customer_id;;uuid;;;false;barber_tips;BASE TABLE;5;public;uuid;pg_catalog
;amount;;numeric(10,2);;;true;barber_tips;BASE TABLE;6;public;numeric;pg_catalog
pg_catalog.default;method;'pix'::text;text;;;true;barber_tips;BASE TABLE;7;public;text;pg_catalog
pg_catalog.default;status;'pending'::text;text;;;true;barber_tips;BASE TABLE;8;public;text;pg_catalog
pg_catalog.default;source;'review_link'::text;text;;;true;barber_tips;BASE TABLE;9;public;text;pg_catalog
pg_catalog.default;note;;text;;;false;barber_tips;BASE TABLE;10;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;barber_tips;BASE TABLE;11;public;timestamptz;pg_catalog
;confirmed_at;;timestamp with time zone;;;false;barber_tips;BASE TABLE;12;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;barbers;BASE TABLE;1;public;uuid;pg_catalog
;user_id;;uuid;;;true;barbers;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;name;;text;;;true;barbers;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;phone;;text;;;false;barbers;BASE TABLE;4;public;text;pg_catalog
pg_catalog.default;email;;text;;;false;barbers;BASE TABLE;5;public;text;pg_catalog
;active;true;boolean;;;false;barbers;BASE TABLE;6;public;bool;pg_catalog
;created_at;timezone('utc'::text, now());timestamp with time zone;;;true;barbers;BASE TABLE;7;public;timestamptz;pg_catalog
pg_catalog.default;avatar_url;;text;;;false;barbers;BASE TABLE;8;public;text;pg_catalog
pg_catalog.default;category;'Proprietário'::text;text;;;false;barbers;BASE TABLE;9;public;text;pg_catalog
;commission_rate;0;numeric;;;false;barbers;BASE TABLE;10;public;numeric;pg_catalog
;average_rating;0;numeric(3,2);;;false;barbers;BASE TABLE;11;public;numeric;pg_catalog
;total_ratings;0;integer;;;false;barbers;BASE TABLE;12;public;int4;pg_catalog
;working_hours;"'{""friday"": {""end"": ""19:00"", ""start"": ""09:00"", ""enabled"": true}, ""monday"": {""end"": ""19:00"", ""start"": ""09:00"", ""enabled"": true}, ""sunday"": {""end"": ""14:00"", ""start"": ""09:00"", ""enabled"": false}, ""tuesday"": {""end"": ""19:00"", ""start"": ""09:00"", ""enabled"": true}, ""saturday"": {""end"": ""14:00"", ""start"": ""09:00"", ""enabled"": true}, ""thursday"": {""end"": ""19:00"", ""start"": ""09:00"", ""enabled"": true}, ""wednesday"": {""end"": ""19:00"", ""start"": ""09:00"", ""enabled"": true}}'::jsonb";jsonb;;;false;barbers;BASE TABLE;13;public;jsonb;pg_catalog
;tenant_id;;uuid;;;false;barbers;BASE TABLE;14;public;uuid;pg_catalog
pg_catalog.default;bio;;text;;;false;barbers;BASE TABLE;15;public;text;pg_catalog
pg_catalog.default;specialties;;text[];;;false;barbers;BASE TABLE;16;public;_text;pg_catalog
;updated_at;now();timestamp with time zone;;;false;barbers;BASE TABLE;17;public;timestamptz;pg_catalog
pg_catalog.default;commission_type;'percentage'::text;text;;;true;barbers;BASE TABLE;18;public;text;pg_catalog
;commission_fixed_value;0;numeric(10,2);;;true;barbers;BASE TABLE;19;public;numeric;pg_catalog
;commission_bonus_value;0;numeric(10,2);;;true;barbers;BASE TABLE;20;public;numeric;pg_catalog
;monthly_goal;0;numeric(10,2);;;true;barbers;BASE TABLE;21;public;numeric;pg_catalog
pg_catalog.default;pix_key;;text;;;false;barbers;BASE TABLE;22;public;text;pg_catalog
pg_catalog.default;pix_key_type;;text;;;false;barbers;BASE TABLE;23;public;text;pg_catalog
;accepts_tips;true;boolean;;;true;barbers;BASE TABLE;24;public;bool;pg_catalog
pg_catalog.default;pix_qr_code_url;;text;;;false;barbers;BASE TABLE;25;public;text;pg_catalog
;auth_migration_status;'legacy'::identity_status;identity_status;;;false;barbers;BASE TABLE;26;public;identity_status;public
;id;gen_random_uuid();uuid;;;true;barbershop_module_logs;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;barbershop_module_logs;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;module_key;;text;;;true;barbershop_module_logs;BASE TABLE;3;public;text;pg_catalog
;old_value;;boolean;;;false;barbershop_module_logs;BASE TABLE;4;public;bool;pg_catalog
;new_value;;boolean;;;true;barbershop_module_logs;BASE TABLE;5;public;bool;pg_catalog
;changed_by;;uuid;;;false;barbershop_module_logs;BASE TABLE;6;public;uuid;pg_catalog
;changed_at;now();timestamp with time zone;;;true;barbershop_module_logs;BASE TABLE;7;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;barbershop_modules;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;barbershop_modules;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;module_key;;text;;;true;barbershop_modules;BASE TABLE;3;public;text;pg_catalog
;enabled;false;boolean;;;true;barbershop_modules;BASE TABLE;4;public;bool;pg_catalog
;created_at;now();timestamp with time zone;;;true;barbershop_modules;BASE TABLE;5;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;barbershop_modules;BASE TABLE;6;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;barbershop_settings;BASE TABLE;1;public;uuid;pg_catalog
;barber_id;;uuid;;;true;barbershop_settings;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;instance_id;;text;;;false;barbershop_settings;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;instance_token;;text;;;false;barbershop_settings;BASE TABLE;4;public;text;pg_catalog
pg_catalog.default;client_token;;text;;;false;barbershop_settings;BASE TABLE;5;public;text;pg_catalog
pg_catalog.default;whatsapp_number;;text;;;false;barbershop_settings;BASE TABLE;6;public;text;pg_catalog
;created_at;timezone('utc'::text, now());timestamp with time zone;;;true;barbershop_settings;BASE TABLE;7;public;timestamptz;pg_catalog
;updated_at;timezone('utc'::text, now());timestamp with time zone;;;true;barbershop_settings;BASE TABLE;8;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;barbershops;BASE TABLE;1;public;uuid;pg_catalog
pg_catalog.default;name;;text;;;true;barbershops;BASE TABLE;2;public;text;pg_catalog
pg_catalog.default;slug;;text;;;true;barbershops;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;logo_url;;text;;;false;barbershops;BASE TABLE;4;public;text;pg_catalog
;owner_id;;uuid;;;false;barbershops;BASE TABLE;5;public;uuid;pg_catalog
;created_at;now();timestamp with time zone;;;false;barbershops;BASE TABLE;6;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;barbershops;BASE TABLE;7;public;timestamptz;pg_catalog
;plan_id;;uuid;;;false;barbershops;BASE TABLE;8;public;uuid;pg_catalog
;id;gen_random_uuid();uuid;;;true;campaign_logs;BASE TABLE;1;public;uuid;pg_catalog
;campaign_id;;uuid;;;true;campaign_logs;BASE TABLE;2;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;campaign_logs;BASE TABLE;3;public;uuid;pg_catalog
;customer_id;;uuid;;;false;campaign_logs;BASE TABLE;4;public;uuid;pg_catalog
pg_catalog.default;status;;text;;;true;campaign_logs;BASE TABLE;5;public;text;pg_catalog
;response;;jsonb;;;false;campaign_logs;BASE TABLE;6;public;jsonb;pg_catalog
;sent_at;now();timestamp with time zone;;;true;campaign_logs;BASE TABLE;7;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;campaigns;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;campaigns;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;title;;text;;;true;campaigns;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;content;;text;;;false;campaigns;BASE TABLE;4;public;text;pg_catalog
;scheduled_at;;timestamp with time zone;;;false;campaigns;BASE TABLE;5;public;timestamptz;pg_catalog
pg_catalog.default;status;'draft'::text;text;;;false;campaigns;BASE TABLE;6;public;text;pg_catalog
;filters;;jsonb;;;false;campaigns;BASE TABLE;7;public;jsonb;pg_catalog
;total_recipients;0;integer;;;false;campaigns;BASE TABLE;8;public;int4;pg_catalog
;created_at;now();timestamp with time zone;;;true;campaigns;BASE TABLE;9;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;campaigns;BASE TABLE;10;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;cashback_transactions;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;cashback_transactions;BASE TABLE;2;public;uuid;pg_catalog
;customer_id;;uuid;;;true;cashback_transactions;BASE TABLE;3;public;uuid;pg_catalog
;appointment_id;;uuid;;;false;cashback_transactions;BASE TABLE;4;public;uuid;pg_catalog
pg_catalog.default;type;;text;;;true;cashback_transactions;BASE TABLE;5;public;text;pg_catalog
;amount;;numeric(10,2);;;true;cashback_transactions;BASE TABLE;6;public;numeric;pg_catalog
;base_amount;;numeric(10,2);;;false;cashback_transactions;BASE TABLE;7;public;numeric;pg_catalog
pg_catalog.default;description;;text;;;false;cashback_transactions;BASE TABLE;8;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;cashback_transactions;BASE TABLE;9;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;cashback_transactions;BASE TABLE;10;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;client_auth;BASE TABLE;1;public;uuid;pg_catalog
pg_catalog.default;phone;;text;;;true;client_auth;BASE TABLE;2;public;text;pg_catalog
pg_catalog.default;password_hash;;text;;;false;client_auth;BASE TABLE;3;public;text;pg_catalog
;customer_id;;uuid;;;false;client_auth;BASE TABLE;4;public;uuid;pg_catalog
;created_at;now();timestamp with time zone;;;true;client_auth;BASE TABLE;5;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;client_auth;BASE TABLE;6;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;commission_closings;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;commission_closings;BASE TABLE;2;public;uuid;pg_catalog
;barber_id;;uuid;;;true;commission_closings;BASE TABLE;3;public;uuid;pg_catalog
;period_start;;date;;;true;commission_closings;BASE TABLE;4;public;date;pg_catalog
;period_end;;date;;;true;commission_closings;BASE TABLE;5;public;date;pg_catalog
;total_amount;0;numeric(10,2);;;true;commission_closings;BASE TABLE;6;public;numeric;pg_catalog
;paid_amount;0;numeric(10,2);;;true;commission_closings;BASE TABLE;7;public;numeric;pg_catalog
pg_catalog.default;status;'pending'::text;text;;;true;commission_closings;BASE TABLE;8;public;text;pg_catalog
;paid_at;;timestamp with time zone;;;false;commission_closings;BASE TABLE;9;public;timestamptz;pg_catalog
pg_catalog.default;notes;;text;;;false;commission_closings;BASE TABLE;10;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;commission_closings;BASE TABLE;11;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;commission_closings;BASE TABLE;12;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;commission_entries;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;commission_entries;BASE TABLE;2;public;uuid;pg_catalog
;barber_id;;uuid;;;true;commission_entries;BASE TABLE;3;public;uuid;pg_catalog
;appointment_id;;uuid;;;true;commission_entries;BASE TABLE;4;public;uuid;pg_catalog
;customer_id;;uuid;;;false;commission_entries;BASE TABLE;5;public;uuid;pg_catalog
;service_amount;0;numeric(10,2);;;true;commission_entries;BASE TABLE;6;public;numeric;pg_catalog
pg_catalog.default;commission_type;'percentage'::text;text;;;true;commission_entries;BASE TABLE;7;public;text;pg_catalog
;commission_rate;0;numeric(5,2);;;true;commission_entries;BASE TABLE;8;public;numeric;pg_catalog
;commission_fixed;0;numeric(10,2);;;true;commission_entries;BASE TABLE;9;public;numeric;pg_catalog
;commission_bonus;0;numeric(10,2);;;true;commission_entries;BASE TABLE;10;public;numeric;pg_catalog
;commission_amount;0;numeric(10,2);;;true;commission_entries;BASE TABLE;11;public;numeric;pg_catalog
pg_catalog.default;status;'pending'::text;text;;;true;commission_entries;BASE TABLE;12;public;text;pg_catalog
;paid_amount;0;numeric(10,2);;;true;commission_entries;BASE TABLE;13;public;numeric;pg_catalog
;closing_id;;uuid;;;false;commission_entries;BASE TABLE;14;public;uuid;pg_catalog
;earned_at;now();timestamp with time zone;;;true;commission_entries;BASE TABLE;15;public;timestamptz;pg_catalog
;created_at;now();timestamp with time zone;;;true;commission_entries;BASE TABLE;16;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;true;commission_entries;BASE TABLE;17;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;communication_channels;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;communication_channels;BASE TABLE;2;public;uuid;pg_catalog
;type;;communication_channel_type;;;true;communication_channels;BASE TABLE;3;public;communication_channel_type;public
pg_catalog.default;provider_name;;text;;;false;communication_channels;BASE TABLE;4;public;text;pg_catalog
pg_catalog.default;status;'not_configured'::text;text;;;false;communication_channels;BASE TABLE;5;public;text;pg_catalog
;is_active;false;boolean;;;false;communication_channels;BASE TABLE;6;public;bool;pg_catalog
;settings;'{}'::jsonb;jsonb;;;false;communication_channels;BASE TABLE;7;public;jsonb;pg_catalog
;health_status;'{}'::jsonb;jsonb;;;false;communication_channels;BASE TABLE;8;public;jsonb;pg_catalog
;last_sync_at;;timestamp with time zone;;;false;communication_channels;BASE TABLE;9;public;timestamptz;pg_catalog
;last_message_at;;timestamp with time zone;;;false;communication_channels;BASE TABLE;10;public;timestamptz;pg_catalog
;metadata;'{}'::jsonb;jsonb;;;false;communication_channels;BASE TABLE;11;public;jsonb;pg_catalog
;created_at;now();timestamp with time zone;;;false;communication_channels;BASE TABLE;12;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;communication_channels;BASE TABLE;13;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;communication_messages;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;communication_messages;BASE TABLE;2;public;uuid;pg_catalog
;channel_type;;communication_channel_type;;;true;communication_messages;BASE TABLE;3;public;communication_channel_type;public
;category;'operational'::communication_category;communication_category;;;false;communication_messages;BASE TABLE;4;public;communication_category;public
pg_catalog.default;direction;;text;;;true;communication_messages;BASE TABLE;5;public;text;pg_catalog
;sender_id;;uuid;;;false;communication_messages;BASE TABLE;6;public;uuid;pg_catalog
;customer_id;;uuid;;;false;communication_messages;BASE TABLE;7;public;uuid;pg_catalog
pg_catalog.default;recipient_address;;text;;;true;communication_messages;BASE TABLE;8;public;text;pg_catalog
pg_catalog.default;content;;text;;;false;communication_messages;BASE TABLE;9;public;text;pg_catalog
;template_id;;uuid;;;false;communication_messages;BASE TABLE;10;public;uuid;pg_catalog
;status;'pending'::communication_message_status;communication_message_status;;;false;communication_messages;BASE TABLE;11;public;communication_message_status;public
pg_catalog.default;provider_message_id;;text;;;false;communication_messages;BASE TABLE;12;public;text;pg_catalog
;provider_response;'{}'::jsonb;jsonb;;;false;communication_messages;BASE TABLE;13;public;jsonb;pg_catalog
pg_catalog.default;error_message;;text;;;false;communication_messages;BASE TABLE;14;public;text;pg_catalog
;metadata;'{}'::jsonb;jsonb;;;false;communication_messages;BASE TABLE;15;public;jsonb;pg_catalog
;conversation_id;;uuid;;;false;communication_messages;BASE TABLE;16;public;uuid;pg_catalog
;correlation_id;;uuid;;;false;communication_messages;BASE TABLE;17;public;uuid;pg_catalog
;sent_at;;timestamp with time zone;;;false;communication_messages;BASE TABLE;18;public;timestamptz;pg_catalog
;delivered_at;;timestamp with time zone;;;false;communication_messages;BASE TABLE;19;public;timestamptz;pg_catalog
;read_at;;timestamp with time zone;;;false;communication_messages;BASE TABLE;20;public;timestamptz;pg_catalog
;replied_at;;timestamp with time zone;;;false;communication_messages;BASE TABLE;21;public;timestamptz;pg_catalog
;created_at;now();timestamp with time zone;;;false;communication_messages;BASE TABLE;22;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;communication_messages;BASE TABLE;23;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;communication_templates;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;communication_templates;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;name;;text;;;true;communication_templates;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;key;;text;;;true;communication_templates;BASE TABLE;4;public;text;pg_catalog
;category;;communication_category;;;true;communication_templates;BASE TABLE;5;public;communication_category;public
;channel_type;;communication_channel_type;;;true;communication_templates;BASE TABLE;6;public;communication_channel_type;public
pg_catalog.default;content;;text;;;true;communication_templates;BASE TABLE;7;public;text;pg_catalog
pg_catalog.default;subject;;text;;;false;communication_templates;BASE TABLE;8;public;text;pg_catalog
;variables;'[]'::jsonb;jsonb;;;false;communication_templates;BASE TABLE;9;public;jsonb;pg_catalog
;is_active;true;boolean;;;false;communication_templates;BASE TABLE;10;public;bool;pg_catalog
;version;1;integer;;;false;communication_templates;BASE TABLE;11;public;int4;pg_catalog
;created_at;now();timestamp with time zone;;;false;communication_templates;BASE TABLE;12;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;communication_templates;BASE TABLE;13;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;cookie_consents;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;false;cookie_consents;BASE TABLE;2;public;uuid;pg_catalog
;customer_id;;uuid;;;false;cookie_consents;BASE TABLE;3;public;uuid;pg_catalog
;user_id;;uuid;;;false;cookie_consents;BASE TABLE;4;public;uuid;pg_catalog
pg_catalog.default;session_id;;text;;;false;cookie_consents;BASE TABLE;5;public;text;pg_catalog
;necessary;true;boolean;;;true;cookie_consents;BASE TABLE;6;public;bool;pg_catalog
;preferences;false;boolean;;;true;cookie_consents;BASE TABLE;7;public;bool;pg_catalog
;statistics;false;boolean;;;true;cookie_consents;BASE TABLE;8;public;bool;pg_catalog
;marketing;false;boolean;;;true;cookie_consents;BASE TABLE;9;public;bool;pg_catalog
pg_catalog.default;policy_version;'2026-06-27'::text;text;;;true;cookie_consents;BASE TABLE;10;public;text;pg_catalog
pg_catalog.default;ip;;text;;;false;cookie_consents;BASE TABLE;11;public;text;pg_catalog
pg_catalog.default;user_agent;;text;;;false;cookie_consents;BASE TABLE;12;public;text;pg_catalog
pg_catalog.default;device;;text;;;false;cookie_consents;BASE TABLE;13;public;text;pg_catalog
pg_catalog.default;source;;text;;;false;cookie_consents;BASE TABLE;14;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;cookie_consents;BASE TABLE;15;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;coupons;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;coupons;BASE TABLE;2;public;uuid;pg_catalog
pg_catalog.default;code;;text;;;true;coupons;BASE TABLE;3;public;text;pg_catalog
pg_catalog.default;type;;text;;;true;coupons;BASE TABLE;4;public;text;pg_catalog
;value;;numeric;;;true;coupons;BASE TABLE;5;public;numeric;pg_catalog
;minimum_amount;0;numeric;;;false;coupons;BASE TABLE;6;public;numeric;pg_catalog
;max_discount;;numeric;;;false;coupons;BASE TABLE;7;public;numeric;pg_catalog
;usage_limit;;integer;;;false;coupons;BASE TABLE;8;public;int4;pg_catalog
;used_count;0;integer;;;false;coupons;BASE TABLE;9;public;int4;pg_catalog
;starts_at;now();timestamp with time zone;;;false;coupons;BASE TABLE;10;public;timestamptz;pg_catalog
;expires_at;;timestamp with time zone;;;false;coupons;BASE TABLE;11;public;timestamptz;pg_catalog
;active;true;boolean;;;false;coupons;BASE TABLE;12;public;bool;pg_catalog
;created_at;now();timestamp with time zone;;;false;coupons;BASE TABLE;13;public;timestamptz;pg_catalog
pg_catalog.default;applies_to;'order'::text;text;;;true;coupons;BASE TABLE;14;public;text;pg_catalog
;first_month_only;false;boolean;;;true;coupons;BASE TABLE;15;public;bool;pg_catalog
;id;gen_random_uuid();uuid;;;true;credit_transactions;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;credit_transactions;BASE TABLE;2;public;uuid;pg_catalog
;customer_id;;uuid;;;true;credit_transactions;BASE TABLE;3;public;uuid;pg_catalog
;appointment_id;;uuid;;;false;credit_transactions;BASE TABLE;4;public;uuid;pg_catalog
pg_catalog.default;type;;text;;;true;credit_transactions;BASE TABLE;5;public;text;pg_catalog
;amount;;numeric(10,2);;;true;credit_transactions;BASE TABLE;6;public;numeric;pg_catalog
pg_catalog.default;description;;text;;;false;credit_transactions;BASE TABLE;7;public;text;pg_catalog
;created_at;now();timestamp with time zone;;;true;credit_transactions;BASE TABLE;8;public;timestamptz;pg_catalog
;updated_at;now();timestamp with time zone;;;false;credit_transactions;BASE TABLE;9;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;customer_achievements;BASE TABLE;1;public;uuid;pg_catalog
;customer_id;;uuid;;;true;customer_achievements;BASE TABLE;2;public;uuid;pg_catalog
;achievement_id;;uuid;;;true;customer_achievements;BASE TABLE;3;public;uuid;pg_catalog
;unlocked_at;now();timestamp with time zone;;;false;customer_achievements;BASE TABLE;4;public;timestamptz;pg_catalog
;id;gen_random_uuid();uuid;;;true;customer_credits;BASE TABLE;1;public;uuid;pg_catalog
;tenant_id;;uuid;;;true;customer_credits;BASE TABLE;2;public;uuid;pg_catalog
;customer_id;;uuid;;;true;customer_credits;BASE TABLE;3;public;uuid;pg_catalog
;appointment_id;;uuid;;;false;customer_credits;BASE TABLE;4;public;uuid;pg_catalog
pg_catalog.default;payment_id;;text;;;false;customer_credits;BASE TABLE;5;public;text;pg_catalog
