command;permissive;policy_name;roles;schema_name;table_name;using_expression;with_check_expression
ALL;PERMISSIVE;Tenants can manage their own audiences;{authenticated};public;marketing_audiences;(tenant_id = auth.uid());
ALL;PERMISSIVE;Tenant can manage own recipients;{authenticated};public;notification_recipients;((tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role));((tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role))
SELECT;PERMISSIVE;Barbeiros podem ver suas próprias notificações;{public};public;notifications;"((EXISTS ( SELECT 1
   FROM barbers
  WHERE ((barbers.id = notifications.barber_id) AND (barbers.user_id = auth.uid())))) OR (user_id = auth.uid()) OR is_super_admin_user())";
SELECT;PERMISSIVE;Barber panel can read its notifications;{anon,authenticated};public;notifications;(barber_id IS NOT NULL);
UPDATE;PERMISSIVE;Barber panel can update its notifications;{anon,authenticated};public;notifications;(barber_id IS NOT NULL);(barber_id IS NOT NULL)
ALL;PERMISSIVE;Super admins can manage all notifications;{public};public;notifications;is_super_admin_user();is_super_admin_user()
ALL;PERMISSIVE;Users can manage their own notifications;{public};public;notifications;"((EXISTS ( SELECT 1
   FROM barbers
  WHERE ((barbers.id = notifications.barber_id) AND (barbers.user_id = auth.uid())))) OR (user_id = auth.uid()) OR is_super_admin_user())";
ALL;PERMISSIVE;Users can view their own tenant data;{public};public;notifications;"(tenant_id = ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
SELECT;PERMISSIVE;Everyone can view onboarding settings;{public};public;onboarding_settings;true;
ALL;PERMISSIVE;Only super admins can manage onboarding settings;{public};public;onboarding_settings;"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::text))))";
ALL;PERMISSIVE;Tenant access;{authenticated};public;operational_insights_interactions;"(tenant_id = ( SELECT profiles.tenant_id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
INSERT;PERMISSIVE;tenant inserts own payment_gateway_logs;{public};public;payment_gateway_logs;;(tenant_id = auth.uid())
SELECT;PERMISSIVE;tenant views own payment_gateway_logs;{public};public;payment_gateway_logs;(tenant_id = auth.uid());
ALL;PERMISSIVE;tenant manages own payment_gateways;{public};public;payment_gateways;(tenant_id = auth.uid());(tenant_id = auth.uid())
INSERT;PERMISSIVE;Public customers can submit receipts;{anon};public;payment_receipts;;"((EXISTS ( SELECT 1
   FROM profiles p
  WHERE (p.id = p.tenant_id))) AND (appointment_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM appointments a
  WHERE ((a.id = payment_receipts.appointment_id) AND (a.tenant_id = payment_receipts.tenant_id)))))"
DELETE;PERMISSIVE;Tenant can delete own receipts;{authenticated};public;payment_receipts;(tenant_id = get_my_tenant_id());
INSERT;PERMISSIVE;Tenant can insert own receipts;{authenticated};public;payment_receipts;;(tenant_id = get_my_tenant_id())
UPDATE;PERMISSIVE;Tenant can update own receipts;{authenticated};public;payment_receipts;(tenant_id = get_my_tenant_id());(tenant_id = get_my_tenant_id())
SELECT;PERMISSIVE;Tenant can view own receipts;{authenticated};public;payment_receipts;((tenant_id = get_my_tenant_id()) OR is_super_admin());
SELECT;PERMISSIVE;Allow read for authenticated permissions;{authenticated};public;permissions;true;
SELECT;PERMISSIVE;Plans are viewable by everyone;{public};public;plans;true;
ALL;PERMISSIVE;Plans manageable by super_admin;{public};public;plans;is_super_admin_user();is_super_admin_user()
INSERT;PERMISSIVE;Anyone can insert consent;{anon,authenticated};public;privacy_consents;;true
SELECT;PERMISSIVE;Users view own/tenant consents;{authenticated};public;privacy_consents;"((user_id = auth.uid()) OR (customer_id IN ( SELECT customers.id
   FROM customers
  WHERE (customers.user_id = auth.uid()))) OR (tenant_id IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))";
SELECT;PERMISSIVE;Qualquer pessoa pode ver imagens de produtos;{public};public;product_images;true;
ALL;PERMISSIVE;Vendedores podem gerenciar imagens de seus produtos;{public};public;product_images;"(EXISTS ( SELECT 1
   FROM products p
  WHERE ((p.id = product_images.product_id) AND (p.user_id = auth.uid()))))";"(EXISTS ( SELECT 1
   FROM products p
  WHERE ((p.id = product_images.product_id) AND (p.user_id = auth.uid()))))"
DELETE;RESTRICTIVE;require_module_products_delete;{authenticated};public;product_images;has_module_access(auth.uid(), 'products'::text);
INSERT;RESTRICTIVE;require_module_products_insert;{authenticated};public;product_images;;has_module_access(auth.uid(), 'products'::text)
UPDATE;RESTRICTIVE;require_module_products_update;{authenticated};public;product_images;has_module_access(auth.uid(), 'products'::text);has_module_access(auth.uid(), 'products'::text)
INSERT;PERMISSIVE;Authenticated tenant can create product sales;{authenticated};public;product_sales;;"((barber_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM barbers b
  WHERE ((b.id = product_sales.barber_id) AND (b.tenant_id = auth.uid())))))"
ALL;PERMISSIVE;Super admins can manage all product sales;{public};public;product_sales;is_super_admin_user();is_super_admin_user()
INSERT;PERMISSIVE;Users can insert their own product sales;{public};public;product_sales;;(auth.uid() = user_id)
ALL;PERMISSIVE;Users can manage their own product sales;{authenticated};public;product_sales;"((auth.uid() = user_id) OR (EXISTS ( SELECT 1
   FROM barbers
  WHERE ((barbers.id = product_sales.barber_id) AND (barbers.user_id = auth.uid())))))";
UPDATE;PERMISSIVE;Users can update their own product sales;{public};public;product_sales;(auth.uid() = user_id);
SELECT;PERMISSIVE;Users can view their own product sales;{public};public;product_sales;(auth.uid() = user_id);
DELETE;RESTRICTIVE;require_module_store_delete;{authenticated};public;product_sales;has_module_access(auth.uid(), 'store'::text);
INSERT;RESTRICTIVE;require_module_store_insert;{authenticated};public;product_sales;;has_module_access(auth.uid(), 'store'::text)
UPDATE;RESTRICTIVE;require_module_store_update;{authenticated};public;product_sales;has_module_access(auth.uid(), 'store'::text);has_module_access(auth.uid(), 'store'::text)
SELECT;PERMISSIVE;Public can view products;{public};public;products;true;
SELECT;PERMISSIVE;Public select for products;{public};public;products;true;
ALL;PERMISSIVE;Super admins can manage all products;{public};public;products;is_super_admin_user();is_super_admin_user()
INSERT;PERMISSIVE;Users can create their own products;{public};public;products;;(auth.uid() = user_id)
DELETE;PERMISSIVE;Users can delete their own products;{public};public;products;(auth.uid() = user_id);
UPDATE;PERMISSIVE;Users can update their own products;{public};public;products;(auth.uid() = user_id);
SELECT;PERMISSIVE;Users can view their own products;{public};public;products;"((auth.uid() = user_id) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::text)))))";
DELETE;RESTRICTIVE;require_module_products_delete;{authenticated};public;products;has_module_access(auth.uid(), 'products'::text);
INSERT;RESTRICTIVE;require_module_products_insert;{authenticated};public;products;;has_module_access(auth.uid(), 'products'::text)
UPDATE;RESTRICTIVE;require_module_products_update;{authenticated};public;products;has_module_access(auth.uid(), 'products'::text);has_module_access(auth.uid(), 'products'::text)
ALL;PERMISSIVE;Admins can manage time off for their tenant;{authenticated};public;professional_time_off;(tenant_id = auth.uid());(tenant_id = auth.uid())
SELECT;PERMISSIVE;Users can view time off for their tenant;{authenticated};public;professional_time_off;"((tenant_id = auth.uid()) OR (professional_id IN ( SELECT barbers.id
   FROM barbers
  WHERE (barbers.user_id = auth.uid()))))";
SELECT;PERMISSIVE;Profiles are viewable by everyone;{public};public;profiles;true;
SELECT;PERMISSIVE;Profiles are viewable by owner, tenant, or super admin;{public};public;profiles;((auth.uid() = id) OR is_super_admin_user() OR ((get_my_tenant_id() IS NOT NULL) AND ((tenant_id = get_my_tenant_id()) OR (id = get_my_tenant_id()))));
DELETE;PERMISSIVE;Super admins can delete profiles;{public};public;profiles;is_super_admin_user();
INSERT;PERMISSIVE;Users can insert own profile;{public};public;profiles;;(auth.uid() = id)
UPDATE;PERMISSIVE;Users can update own profile or super admin can update any;{public};public;profiles;((auth.uid() = id) OR is_super_admin_user());((auth.uid() = id) OR is_super_admin_user())
DELETE;PERMISSIVE;user_own_subs_delete;{authenticated};public;push_subscriptions;(auth.uid() = user_id);
SELECT;PERMISSIVE;user_own_subs_select;{authenticated};public;push_subscriptions;(auth.uid() = user_id);
ALL;PERMISSIVE;service_only_rl;{public};public;rate_limit_hits;false;false
ALL;PERMISSIVE;Owner manages reception permissions;{authenticated};public;reception_permissions;((tenant_id = get_my_tenant_id()) OR is_super_admin_user());((tenant_id = get_my_tenant_id()) OR is_super_admin_user())
SELECT;PERMISSIVE;Reception reads own permissions;{authenticated};public;reception_permissions;(user_id = auth.uid());
SELECT;PERMISSIVE;Admins can view their own tenant's refund audits;{public};public;refund_audits;(auth.uid() = tenant_id);
ALL;PERMISSIVE;Tenants can manage their own refund requests;{authenticated};public;refund_requests;(tenant_id = auth.uid());(tenant_id = auth.uid())
SELECT;PERMISSIVE;Only Super Admins can read Resend settings;{authenticated};public;resend_settings;has_role(auth.uid(), 'super_admin'::app_role);
ALL;PERMISSIVE;Super Admins can manage Resend settings;{authenticated};public;resend_settings;has_role(auth.uid(), 'super_admin'::app_role);
SELECT;PERMISSIVE;Tenant owner reads review logs;{authenticated};public;review_automation_logs;(tenant_id = auth.uid());
SELECT;PERMISSIVE;Allow read for authenticated role_permissions;{authenticated};public;role_permissions;true;
SELECT;PERMISSIVE;Catálogo de add-ons ativos é público;{public};public;saas_addons;((is_active = true) OR has_role(auth.uid(), 'super_admin'::app_role));
ALL;PERMISSIVE;Super admin gerencia add-ons;{authenticated};public;saas_addons;has_role(auth.uid(), 'super_admin'::app_role);has_role(auth.uid(), 'super_admin'::app_role)
INSERT;PERMISSIVE;super_admin_insert_audit;{authenticated};public;saas_admin_voucher_audit_logs;;has_role(auth.uid(), 'super_admin'::app_role)
SELECT;PERMISSIVE;super_admin_read_audit;{authenticated};public;saas_admin_voucher_audit_logs;has_role(auth.uid(), 'super_admin'::app_role);
ALL;PERMISSIVE;super_admin_full_access_redemptions;{authenticated};public;saas_admin_voucher_redemptions;has_role(auth.uid(), 'super_admin'::app_role);has_role(auth.uid(), 'super_admin'::app_role)
SELECT;PERMISSIVE;tenant_can_view_own_redemption;{authenticated};public;saas_admin_voucher_redemptions;(tenant_id = auth.uid());
ALL;PERMISSIVE;super_admin_full_access_vouchers;{authenticated};public;saas_admin_vouchers;has_role(auth.uid(), 'super_admin'::app_role);has_role(auth.uid(), 'super_admin'::app_role)
SELECT;PERMISSIVE;tenant_can_view_own_voucher;{authenticated};public;saas_admin_vouchers;(specific_tenant_id = auth.uid());
SELECT;PERMISSIVE;authenticated reads billing settings;{authenticated};public;saas_billing_settings;true;
ALL;PERMISSIVE;super admin manages billing settings;{authenticated};public;saas_billing_settings;has_role(auth.uid(), 'admin'::app_role);has_role(auth.uid(), 'admin'::app_role)
ALL;PERMISSIVE;Service role manages checkout sessions;{service_role};public;saas_checkout_sessions;true;true
INSERT;PERMISSIVE;Users insert own checkout sessions;{authenticated};public;saas_checkout_sessions;;(auth.uid() = user_id)
SELECT;PERMISSIVE;Users see own checkout sessions;{authenticated};public;saas_checkout_sessions;(auth.uid() = user_id);
SELECT;PERMISSIVE;Users can view their own security logs;{authenticated};public;security_activity_logs;(auth.uid() = user_id);
INSERT;PERMISSIVE;Public can rate real appointments;{anon,authenticated};public;service_ratings;;"((appointment_id IS NOT NULL) AND (EXISTS ( SELECT 1
   FROM appointments a
  WHERE (a.id = service_ratings.appointment_id))) AND ((rating >= 1) AND (rating <= 5)))"
SELECT;PERMISSIVE;Ratings are viewable by everyone;{public};public;service_ratings;true;
SELECT;PERMISSIVE;Public select for services;{public};public;services;true;
SELECT;PERMISSIVE;Serviços são públicos;{public};public;services;true;
ALL;PERMISSIVE;Super admins can manage all services;{public};public;services;is_super_admin_user();is_super_admin_user()
ALL;PERMISSIVE;Users can manage their own services;{public};public;services;(auth.uid() = user_id);(auth.uid() = user_id)
SELECT;PERMISSIVE;Users can view their own services;{public};public;services;"((auth.uid() = user_id) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'super_admin'::text)))))";
ALL;PERMISSIVE;Users can view their own tenant data;{public};public;services;"(tenant_id = ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";
SELECT;PERMISSIVE;status_checks public read;{public};public;status_checks;true;
ALL;PERMISSIVE;status_incidents admin write;{authenticated};public;status_incidents;has_role(auth.uid(), 'admin'::app_role);has_role(auth.uid(), 'admin'::app_role)
SELECT;PERMISSIVE;status_incidents public read;{public};public;status_incidents;true;
ALL;PERMISSIVE;status_maintenances admin write;{authenticated};public;status_maintenances;has_role(auth.uid(), 'admin'::app_role);has_role(auth.uid(), 'admin'::app_role)
SELECT;PERMISSIVE;status_maintenances public read;{public};public;status_maintenances;true;
ALL;PERMISSIVE;status_services admin write;{authenticated};public;status_services;has_role(auth.uid(), 'admin'::app_role);has_role(auth.uid(), 'admin'::app_role)
SELECT;PERMISSIVE;status_services public read;{public};public;status_services;true;
SELECT;PERMISSIVE;Public can view active subprocessors;{anon,authenticated};public;subprocessors;(active = true);
ALL;PERMISSIVE;Super admin manages subprocessors;{authenticated};public;subprocessors;has_role(auth.uid(), 'super_admin'::app_role);has_role(auth.uid(), 'super_admin'::app_role)
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_card_scans;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_card_scans;;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_card_scans;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
INSERT;PERMISSIVE;tenant inserts card scans;{authenticated};public;subscription_card_scans;;((tenant_id = auth.uid()) OR is_super_admin_user())
SELECT;PERMISSIVE;tenant reads own card scans;{authenticated};public;subscription_card_scans;((tenant_id = auth.uid()) OR is_super_admin_user());
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_invoices;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_invoices;;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_invoices;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
ALL;PERMISSIVE;tenant manages own invoices;{authenticated};public;subscription_invoices;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_loyalty_history;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_loyalty_history;;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_loyalty_history;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
ALL;PERMISSIVE;tenant manages own history;{authenticated};public;subscription_loyalty_history;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_loyalty_rewards;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_loyalty_rewards;;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_loyalty_rewards;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
ALL;PERMISSIVE;tenant manages own rewards;{authenticated};public;subscription_loyalty_rewards;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_payments;has_module_access(auth.uid(), 'subscriptions'::text);
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_payments;;has_module_access(auth.uid(), 'subscriptions'::text)
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_payments;has_module_access(auth.uid(), 'subscriptions'::text);has_module_access(auth.uid(), 'subscriptions'::text)
ALL;PERMISSIVE;tenant manages own subscription_payments;{authenticated};public;subscription_payments;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
SELECT;PERMISSIVE;tenant reads own subscription_payments;{authenticated};public;subscription_payments;((tenant_id = auth.uid()) OR is_super_admin_user());
SELECT;PERMISSIVE;auth can view plan benefit services;{authenticated};public;subscription_plan_benefit_services;((active = true) OR (tenant_id = auth.uid()) OR is_super_admin_user());
SELECT;PERMISSIVE;public can view plan benefit services;{anon};public;subscription_plan_benefit_services;(active = true);
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_plan_benefit_services;has_module_access(auth.uid(), 'subscriptions'::text);
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_plan_benefit_services;;has_module_access(auth.uid(), 'subscriptions'::text)
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_plan_benefit_services;has_module_access(auth.uid(), 'subscriptions'::text);has_module_access(auth.uid(), 'subscriptions'::text)
ALL;PERMISSIVE;tenant manages own plan benefit services;{authenticated};public;subscription_plan_benefit_services;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
SELECT;PERMISSIVE;auth can view plan benefits;{authenticated};public;subscription_plan_benefits;((active = true) OR (tenant_id = auth.uid()) OR is_super_admin_user());
SELECT;PERMISSIVE;public can view plan benefits;{anon};public;subscription_plan_benefits;(active = true);
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_plan_benefits;has_module_access(auth.uid(), 'subscriptions'::text);
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_plan_benefits;;has_module_access(auth.uid(), 'subscriptions'::text)
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_plan_benefits;has_module_access(auth.uid(), 'subscriptions'::text);has_module_access(auth.uid(), 'subscriptions'::text)
ALL;PERMISSIVE;tenant manages own plan benefits;{authenticated};public;subscription_plan_benefits;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_plan_changes;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_plan_changes;;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_plan_changes;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
INSERT;PERMISSIVE;tenant insert plan changes;{authenticated};public;subscription_plan_changes;;(tenant_id = auth.uid())
SELECT;PERMISSIVE;tenant read plan changes;{authenticated};public;subscription_plan_changes;(tenant_id = auth.uid());
SELECT;PERMISSIVE;public can view plan services;{anon};public;subscription_plan_services;true;
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_plan_services;has_module_access(auth.uid(), 'subscriptions'::text);
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_plan_services;;has_module_access(auth.uid(), 'subscriptions'::text)
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_plan_services;has_module_access(auth.uid(), 'subscriptions'::text);has_module_access(auth.uid(), 'subscriptions'::text)
ALL;PERMISSIVE;tenant manages own plan services;{authenticated};public;subscription_plan_services;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
SELECT;PERMISSIVE;auth can view active plans;{authenticated};public;subscription_plans;(active = true);
SELECT;PERMISSIVE;public can view active plans;{anon};public;subscription_plans;(active = true);
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_plans;has_module_access(auth.uid(), 'subscriptions'::text);
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_plans;;has_module_access(auth.uid(), 'subscriptions'::text)
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_plans;has_module_access(auth.uid(), 'subscriptions'::text);has_module_access(auth.uid(), 'subscriptions'::text)
ALL;PERMISSIVE;tenant manages own plans;{authenticated};public;subscription_plans;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
ALL;PERMISSIVE;Service role full access referrals;{service_role};public;subscription_referrals;true;true
ALL;PERMISSIVE;Tenant manages own referrals;{authenticated};public;subscription_referrals;"(tenant_id IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))";"(tenant_id IN ( SELECT profiles.id
   FROM profiles
  WHERE (profiles.id = auth.uid())))"
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_referrals;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_referrals;;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_referrals;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_status_logs;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_status_logs;;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_status_logs;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
INSERT;PERMISSIVE;tenant inserts status logs;{authenticated};public;subscription_status_logs;;((tenant_id = auth.uid()) OR is_super_admin_user())
SELECT;PERMISSIVE;tenant reads own status logs;{authenticated};public;subscription_status_logs;((tenant_id = auth.uid()) OR is_super_admin_user());
DELETE;RESTRICTIVE;require_module_subscriptions_delete;{authenticated};public;subscription_usage_logs;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());
INSERT;RESTRICTIVE;require_module_subscriptions_insert;{authenticated};public;subscription_usage_logs;;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
UPDATE;RESTRICTIVE;require_module_subscriptions_update;{authenticated};public;subscription_usage_logs;(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user());(has_module_access(auth.uid(), 'subscriptions'::text) OR is_super_admin_user())
ALL;PERMISSIVE;tenant manages own usage logs;{authenticated};public;subscription_usage_logs;((tenant_id = auth.uid()) OR is_super_admin_user());((tenant_id = auth.uid()) OR is_super_admin_user())
ALL;PERMISSIVE;Service role can manage subscriptions;{public};public;subscriptions;(auth.role() = 'service_role'::text);
ALL;PERMISSIVE;Super admins can manage all subscriptions;{authenticated};public;subscriptions;"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = 'super_admin'::app_role))))";
ALL;PERMISSIVE;Super admins can manage subscriptions;{public};public;subscriptions;is_super_admin_user();
SELECT;PERMISSIVE;Users can view own subscription;{public};public;subscriptions;(auth.uid() = user_id);
SELECT;PERMISSIVE;Messages access;{public};public;support_messages;"(EXISTS ( SELECT 1
   FROM support_tickets
  WHERE ((support_tickets.id = support_messages.ticket_id) AND ((support_tickets.user_id = auth.uid()) OR is_super_admin()))))";
INSERT;PERMISSIVE;Messages insert;{public};public;support_messages;;"(EXISTS ( SELECT 1
   FROM support_tickets
  WHERE ((support_tickets.id = support_messages.ticket_id) AND ((support_tickets.user_id = auth.uid()) OR is_super_admin()))))"
SELECT;PERMISSIVE;Tickets access;{public};public;support_tickets;((auth.uid() = user_id) OR is_super_admin());
INSERT;PERMISSIVE;Tickets insert;{public};public;support_tickets;;(auth.uid() = user_id)
UPDATE;PERMISSIVE;Tickets update;{public};public;support_tickets;((auth.uid() = user_id) OR is_super_admin());
ALL;PERMISSIVE;Service role manages system health settings;{service_role};public;system_health_settings;true;true
ALL;PERMISSIVE;Super admins manage system health settings;{authenticated};public;system_health_settings;is_super_admin_user();is_super_admin_user()
ALL;PERMISSIVE;Super admins can manage system settings;{public};public;system_settings;"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = 'super_admin'::app_role))))";
SELECT;PERMISSIVE;Users can view audit logs for their tenant;{authenticated};public;team_audit_logs;"((tenant_id IN ( SELECT tenant_memberships.tenant_id
   FROM tenant_memberships
  WHERE (tenant_memberships.user_id = auth.uid()))) OR (tenant_id = auth.uid()))";
SELECT;PERMISSIVE;Barbearia vê seus próprios add-ons;{authenticated};public;tenant_addons;((tenant_id = auth.uid()) OR has_role(auth.uid(), 'super_admin'::app_role));
ALL;PERMISSIVE;Super admin gerencia contratos;{authenticated};public;tenant_addons;has_role(auth.uid(), 'super_admin'::app_role);has_role(auth.uid(), 'super_admin'::app_role)
ALL;PERMISSIVE;Tenants manage their own integrations;{authenticated};public;tenant_integrations;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
ALL;PERMISSIVE;Admins can manage their tenant memberships;{authenticated};public;tenant_memberships;(auth.uid() = tenant_id);
SELECT;PERMISSIVE;Users can view their own memberships;{authenticated};public;tenant_memberships;((auth.uid() = user_id) OR (auth.uid() = tenant_id));
ALL;PERMISSIVE;Tenants can manage their own webhooks;{authenticated};public;tenant_webhooks;(auth.uid() = tenant_id);(auth.uid() = tenant_id)
INSERT;PERMISSIVE;Inserção de mensagens permitida para donos do ticket ou super;{public};public;ticket_messages;;"(EXISTS ( SELECT 1
   FROM support_tickets st
  WHERE ((st.id = ticket_messages.ticket_id) AND ((st.user_id = auth.uid()) OR (( SELECT profiles.role
           FROM profiles
          WHERE (profiles.id = auth.uid())) = 'super_admin'::text)))))"
SELECT;PERMISSIVE;Mensagens visíveis por donos do ticket ou super admin;{public};public;ticket_messages;"(EXISTS ( SELECT 1
   FROM support_tickets st
  WHERE ((st.id = ticket_messages.ticket_id) AND ((st.user_id = auth.uid()) OR (( SELECT profiles.role
           FROM profiles
          WHERE (profiles.id = auth.uid())) = 'super_admin'::text)))))";
SELECT;PERMISSIVE;Barbers can view their own transactions;{public};public;transactions;"((EXISTS ( SELECT 1
   FROM barbers
  WHERE ((barbers.id = transactions.barber_id) AND (barbers.user_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['admin'::app_role, 'tenant_admin'::app_role, 'super_admin'::app_role]))))) OR (auth.uid() = user_id))";
